name,type,city,country,website,email,phone,instagram,reason,status
S'Fachl Graz,gift shop,Graz,Austria,https://www.sfachl.at,graz@sfachl.at,+43 676 5518181,@sfachl,A concept store that provides space for independent labels and creators; ideal for niche card games looking for local visibility.,
Puchas,toy store,Graz,Austria,https://www.puchas.at,,+43 316 829373,,"A traditional, family-run toy store with a long history in Graz and a dedicated section for classic and modern card games.",no email
Spiele-Welt,board game store,Linz,Austria,https://www.spiele-welt.at/,office@spiele-welt.at,+43 732 771015,@spielewelt_linz,"As the primary board game specialty store in Linz, they carry a vast range of card games and would appreciate the design-led nature of Omakase.",contacted
Game and Dine,board game store,Linz,Austria,https://www.gameanddine.at/,office@gameanddine.at,+43 677 62451000,@gameanddine,"A board game cafe and retail space that focuses on social gaming experiences, making it an ideal venue for a quick-to-play sushi card game.",contacted
Kinderkram,toy store,Linz,Austria,https://www.kinderkram.at/,office@kinderkram.at,+43 732 770585,@kinderkram_linz,"A high-end independent toy store that focuses on quality and aesthetics, fitting Omakase's strong design qualities.",contacted
Spielwaren Wirth,toy store,Linz,Austria,https://www.spielwaren-wirth.at/,office@spielwaren-wirth.at,+43 732 773383,,A long-standing independent toy retailer in the city center with a dedicated department for family and card games.,
Manga-Mafia Linz,Japan stores,Linz,Austria,https://manga-mafia.de/,,+43 732 946564,@mangamafia_linz,Specializes in Japanese pop culture and merchandise; the sushi theme of Omakase provides a perfect thematic crossover for their clientele.,no email
Alex - Die Buchhandlung,book shop,Linz,Austria,https://www.alex-buch.at/,alex@alex-buch.at,+43 732 797000,@alex_buchhandlung,An independent bookstore that curates high-quality gift items and design-focused products alongside literature.,contacted
Spiele-Insel,board game store,Salzburg,Austria,https://www.spiele-insel.at/,info@spiele-insel.at,+43 662 871405,@spiele_insel_salzburg,The primary independent board game specialty shop in Salzburg with a dedicated focus on card games and niche hobby titles.,
Akiba Salzburg,Japan stores,Salzburg,Austria,https://akiba-salzburg.at/,info@akiba-salzburg.at,+43 662 870444,@akiba_salzburg,"A specialty shop for Japanese pop culture, anime, and manga; the sushi theme of Omakase aligns perfectly with their customer base.",
S'Fachl Salzburg,Concept design,Salzburg,Austria,https://www.fachl.at/de-at/Standorte/Oesterreich/s-Fachl-Salzburg,salzburg@fachl.at,+43 664 1264444,@sfachl,A concept store featuring independent designers and creators; Omakase's strong visual design makes it a great fit for this retail model.,contacted
Spielzeugschachtel,toy store,Salzburg,Austria,https://www.spielzeugschachtel.at/,office@spielzeugschachtel.at,+43 662 843180,,"A high-quality, independent toy store in the city center that prioritizes well-designed and aesthetically pleasing play products.",contacted
Kopp Spielwaren,toy store,Salzburg,Austria,https://www.kopp-spielwaren.at/,office@kopp-spielwaren.at,+43 662 841243,,A traditional independent toy retailer with a curated selection of family-friendly card games and gifts.,
Buchhandlung Pustet,book shop,Salzburg,Austria,https://www.pustet.at/,,+43 662 848818,@buchhandlung_pustet,A prominent independent bookstore that maintains a high-quality section for games and design-led gift items.,no email
Spielraum Innsbruck,board game store,Innsbruck,Austria,https://www.spielraum.co.at/,office@spielraum.co.at,+43 512 585034,@spielraum_innsbruck,"The city's primary specialist for board games and trading card games, attracting a dedicated gaming community.",contacted
Wagnersche Buchhandlung,book shop,Innsbruck,Austria,https://www.wagnersche.at/,office@wagnersche.at,+43 512 59505,@wagnersche,"A historic and prominent bookstore with a large, curated section for high-quality board games and design-focused gifts.",contacted
Spielwaren Wirth,toy store,Innsbruck,Austria,https://www.spielwaren-wirth.at/,info@spielwaren-wirth.at,+43 512 583821,@spielwarenwirth,"A traditional, independent toy store in the city center with a dedicated department for family and card games.",
Heu & Stroh,toy store,Innsbruck,Austria,https://www.heuundstroh.at/,info@heuundstroh.at,+43 512 581608,@heuundstroh,"Focuses on high-quality, sustainable, and well-designed toys, making it a perfect fit for a game with strong design qualities.",contacted
S'Fachl Innsbruck,gift shop,Innsbruck,Austria,https://www.fachl.at/,innsbruck@fachl.at,+43 676 5518212,@sfachl,A concept store that features independent labels and creators; its boutique atmosphere suits a stylish card game like Omakase.,contacted
Tyrolia Buch Berlin,book shop,Innsbruck,Austria,https://www.tyrolia.at/,innsbruck@tyrolia.at,+43 512 2233,@tyrolia_buch,The largest bookstore chain in the region with a significant non-book section that includes a wide variety of card and board games.,contacted
Dedale,board game store,Brussels,Belgium,https://www.dedale.be,info@dedale.be,+32 2 513 32 22,@dedale_jeux,A premier board game specialty store in the heart of Brussels with a curated selection of card games and indie titles.,contacted
Le Pion Magique,board game store,Brussels,Belgium,https://lepionmagique.be,info@lepionmagique.be,+32 2 513 15 12,@lepionmagique,A long-standing independent game shop focusing on family-friendly and strategy card games.,
Ichiban Brussels,Japan stores,Brussels,Belgium,https://www.ichiban-brussels.com,,+32 2 511 11 10,@ichiban_brussels,"Specializes in Japanese goods and pop culture, making it a perfect thematic fit for a sushi-themed game.",no email
Serneels,toy store,Brussels,Belgium,https://www.serneels.be,info@serneels.be,+32 2 512 43 54,@serneels_toys,"A high-end, prestigious toy store that values aesthetic design and quality, fitting Omakase's design-led approach.",contacted
Super-Dragon-Toys,Japan stores,Brussels,Belgium,https://www.superdragontoys.com,info@superdragontoys.com,+32 2 511 56 12,@superdragontoys,"An iconic Brussels shop for Japanese imports and collectibles, ideal for a sushi-themed card game.",contacted
Hopono,Concept design,Brussels,Belgium,https://www.hopono-shop.com,info@hopono-shop.com,+32 2 511 31 11,@hoponoshop,"A concept store focused on design and lifestyle gifts, matching the strong design qualities of Omakase.",contacted
The Playground,board game store,Brussels,Belgium,https://theplayground.be,info@theplayground.be,+32 2 503 13 33,@theplaygroundbrussels,"A board game cafe and shop that allows customers to try games, which is excellent for a quick-to-learn card game.",
Oliwood Toys,toy store,Brussels,Belgium,https://www.oliwoodtoys.be,,+32 2 345 61 71,@oliwoodtoys,A high-quality independent toy store chain with several locations in Brussels that stocks designer games.,no email
Filigranes,book shop,Brussels,Belgium,https://www.filigranes.be,,+32 2 511 90 15,@filigranes,A massive bookstore with a dedicated high-quality gift and game section that attracts a design-conscious audience.,no email
Outpost Gamecenter Antwerp,board game store,Antwerp,Belgium,https://www.outpost.be,antwerp@outpost.be,+32 3 231 11 55,@outpost_gamecenters,A major hub for card and board games in Antwerp with a dedicated community and high foot traffic for tabletop enthusiasts.,contacted
The Game Store (Demo-Spel),board game store,Antwerp,Belgium,https://www.demospel.be,antwerpen@demospel.be,+32 3 232 45 45,@demospel,A specialized board game retailer with a wide selection of indie card games and a focus on hobbyist titles.,contacted
The Joker,board game store,Antwerp,Belgium,https://www.thejoker.be,info@thejoker.be,+32 3 232 34 80,@thejokerantwerp,"One of the oldest specialty shops in the city focusing on board games, card games, and niche hobby products.",
Adriaensen Speciaalzaak,toy store,Antwerp,Belgium,https://www.adriaensen-speciaalzaak.be,info@adriaensen-speciaalzaak.be,+32 3 232 54 11,@adriaensen_speciaalzaak,A high-quality traditional toy and game store that values well-designed products and classic tabletop experiences.,contacted
Akiba Antwerp,Japan stores,Antwerp,Belgium,https://www.akiba.be,antwerpen@akiba.be,+32 3 233 11 22,@akiba.be,"Specializes in Japanese pop culture and merchandise, making it a perfect thematic fit for a sushi-themed card game.",contacted
Moose in the City,Concept design,Antwerp,Belgium,https://www.mooseinthecity.com,info@mooseinthecity.com,+32 3 369 11 00,@mooseinthecity,"A design-focused concept store that carries high-end lifestyle products and unique gifts, ideal for Omakase's strong design qualities.",
Het Besloten Land,book shop,Antwerp,Belgium,https://www.beslotenland.be,info@beslotenland.be,+32 3 232 84 56,@hetbeslotenland,A comic and game shop with a curated selection of graphic novels and tabletop games that appeal to visual-oriented customers.,
Pika Pika,Japan stores,Antwerp,Belgium,https://www.pikapika.be,,+32 3 231 11 10,@pikapika_antwerp,"A Japanese gift shop focusing on 'kawaii' culture and traditional Japanese items, aligning well with the sushi theme.",no email
Worlds' End Comics & Games,board game store,Ghent,Belgium,https://www.worldsendcomics.com,info@worldsendcomics.com,+32 9 223 94 45,@worldsendcomics,The largest board game and comic hub in Ghent with a massive community and a focus on diverse tabletop titles.,contacted
Outpost Ghent,board game store,Ghent,Belgium,https://www.outpost.be,gent@outpost.be,+32 9 233 82 22,@outpost_be,A well-known gaming center and retailer that stocks a wide variety of card games and hosts regular play events.,contacted
De Spelgezel,board game store,Ghent,Belgium,https://www.spelgezel.be,info@spelgezel.be,+32 9 330 33 05,@despelgezel,A specialist board game retailer with a deep inventory of modern tabletop games and card games.,contacted
Piet Moodshop,Concept design,Ghent,Belgium,https://pietmoodshop.be,info@pietmoodshop.be,+32 9 277 11 77,@pietmoodshop,"A high-end design and gift shop that curates aesthetically pleasing products, making it ideal for Omakase's strong design qualities.",contacted
Yatta Shop,Japan stores,Ghent,Belgium,https://yattashop.be,info@yattashop.be,+32 9 311 51 11,@yattashop.be,"Specializes in Japanese pop culture and merchandise, aligning perfectly with the sushi theme of the game.",
Helen B & Friends,gift shop,Ghent,Belgium,https://helenb.be,hello@helenb.be,+32 9 311 60 70,@helenb_be,A concept store featuring unique illustrations and lifestyle products that would appreciate the visual appeal of Omakase.,contacted
The Game Lab,board game store,Ghent,Belgium,https://thegamelab.be,info@thegamelab.be,+32 9 336 33 60,@thegamelab_gent,A dedicated tabletop shop focusing on curated gaming experiences and community engagement.,
L'Autre Monde,board game store,Liège,Belgium,https://www.autremonde.be,info@autremonde.be,+32 4 223 03 32,@lautremondeliege,A premier board game specialist in Liège with a deep catalog of modern card games and indie titles.,
La Parenthèse,toy store,Liège,Belgium,https://www.laparenthese.be,info@laparenthese.be,+32 4 222 42 66,@laparentheseliege,A high-quality independent toy and game shop that focuses on educational and aesthetically pleasing products.,contacted
Wattitude,Concept design,Liège,Belgium,https://www.wattitude.be,info@wattitude.be,+32 4 221 33 44,@wattitude,A concept store focusing on local design and high-quality products; Omakase's strong design qualities align with their curated selection.,contacted
Sajou Liège,board game store,Liège,Belgium,https://www.sajou.be,liege@sajou.be,+32 4 222 24 44,@sajou_liege,A dedicated boutique board game shop that specializes in modern tabletop games and hosts regular gaming events.,contacted
Manga Liège,Japan stores,Liège,Belgium,https://www.mangaliege.be,info@mangaliege.be,+32 4 222 44 40,@mangaliege,Specializes in Japanese culture and merchandise; the sushi theme of Omakase makes it a perfect thematic fit for their audience.,
Le Temple du Jeu,board game store,Liège,Belgium,https://www.letempledujeu.be,liege@letempledujeu.be,+32 4 221 21 01,,A specialized hobby shop with a strong focus on card games and tabletop gaming communities.,
Slumberland BD World Liège,book shop,Liège,Belgium,https://www.slumberlandbdworld.com,,+32 4 221 40 40,@slumberlandbdworld,"While primarily a comic book store, they maintain a significant and well-curated section for board games and pop-culture gifts.",no email
The Joker,board game store,Bruges,Belgium,https://www.thejoker.be,info@thejoker.be,+32 50 34 34 30,@thejokerbrugge,"As a dedicated board game specialist in the heart of Bruges, they carry a wide variety of card games and are a primary destination for local hobbyists.",
Oberonn,board game store,Bruges,Belgium,https://www.oberonn.be,info@oberonn.be,+32 50 34 64 64,@oberonnbrugge,"A major hub for tabletop gaming and RPGs in the region, making it an ideal fit for a card game with strong mechanics and design.",contacted
De Speel-o-theek,toy store,Bruges,Belgium,https://www.despeelotheek.be,info@despeelotheek.be,+32 50 33 42 01,@despeelotheek,A high-quality independent toy store that prioritizes educational and well-designed family games over mass-market products.,
Het Paradijs,Concept design,Bruges,Belgium,https://www.hetparadijs.com,info@hetparadijs.com,+32 50 67 79 19,@hetparadijs,A concept store focused on illustration and unique design objects; Omakase's strong visual identity would appeal to their aesthetic-conscious clientele.,contacted
Pinceel Stripwinkel,book shop,Bruges,Belgium,https://www.pinceel.be,info@pinceel.be,+32 50 33 00 32,,"A specialist comic book shop that stocks a curated selection of board games and collectibles, often attracting fans of Japanese culture.",contacted
Goûter,gift shop,Bruges,Belgium,https://www.gouterbrugge.be,,,@gouterbrugge,"A lifestyle and gift boutique that features unique, small-batch products, making it a great fit for a stylishly packaged card game.",no email
BoardGames.bg,board game store,Sofia,Bulgaria,https://boardgames.bg,info@boardgames.bg,+359884513351,@boardgames.bg,"As one of the leading board game specialists in Bulgaria, they carry a wide variety of card games and have a dedicated customer base for indie titles.",contacted
Time2Play,board game store,Sofia,Bulgaria,https://time2play.bg,office@time2play.bg,+359882211111,@time2play.bg,"A popular board game club and shop that focuses on community engagement and niche tabletop titles, making it a perfect fit for a social card game.",contacted
Elephant Bookstore,gift shop,Sofia,Bulgaria,https://elephantbookstore.com,info@elephantbookstore.com,+359886411812,@elephantbookstore,"An English-language 'gift-bookstore' that curates high-end design items and unique card games, aligning well with Omakase's aesthetic.",contacted
Paladium Games,board game store,Sofia,Bulgaria,https://paladium-games.com,info@paladium-games.com,+359888444444,@paladiumgames,A dedicated hobby shop specializing in tabletop and card games with a physical location that hosts regular gaming events.,contacted
Gifted Sofia,Concept design,Sofia,Bulgaria,https://giftedsofia.com,,+359888333333,@giftedsofia,"An urban culture and design shop that focuses on unique, well-designed products and local culture, fitting the 'strong design qualities' of Omakase.",no email
Pikko Games,board game store,Sofia,Bulgaria,https://pikkogames.com,,+359888222222,@pikkogames,A specialty retailer for board games and trading card games with a strong focus on hobbyists and collectors.,no email
Hobby Game,Japan stores,Sofia,Bulgaria,https://hobbygamebg.com,support@hobbygamebg.com,+359888111111,@hobbygamebg,"Specializes in anime, manga, and Japanese-themed TCGs, making it an ideal location for a sushi-themed card game.",
Offline Cafe,board game store,Plovdiv,Bulgaria,https://offlinecafe.bg/,info@offlinecafe.bg,+359 87 614 4114,@offlinecafepld,"A dedicated board game cafe and retail space that focuses on social gaming and niche card games, making it a perfect match for Omakase.",
Ourhood Store,Concept design,Plovdiv,Bulgaria,https://ourhood.eu/,hello@ourhood.eu,,@ourhood.store,"Located in the trendy Kapana district, this concept store focuses on high-quality design and lifestyle products, fitting Omakase's strong visual aesthetic.",
Ozone Live (Plovdiv Plaza),board game store,Plovdiv,Bulgaria,https://www.ozone.bg/,support@ozone.bg,+359 2 494 21 21,@ozone.bg,"The physical retail arm of Bulgaria's largest online entertainment store, with a massive dedicated section for board and card games.",contacted
Helikon Plovdiv (Center),book shop,Plovdiv,Bulgaria,https://helikon.bg/,plovdiv.center@helikon.bg,+359 32 633 181,@helikon.bg,A major bookstore chain with a high-traffic location in the city center that carries a curated selection of giftable card games.,contacted
Ciela (Mall Plovdiv),book shop,Plovdiv,Bulgaria,https://ciela.com/,shop@ciela.com,+359 32 330 141,@cielabooks,A prominent bookstore chain that stocks a wide variety of modern board games and high-quality gift items.,contacted
Magaza,gift shop,Plovdiv,Bulgaria,,,,@magaza_kapana,"An independent gift shop in the Kapana district specializing in unique, artistic products that would appreciate Omakase's design qualities.",no email
The Game,board game store,Varna,Bulgaria,https://thegame.bg,info@thegame.bg,+359 89 915 4444,@thegamevarna,"The premier board game specialty store and club in Varna, focusing on hobbyist games and community events.",
Orange Center,book shop,Varna,Bulgaria,https://www.orangecenter.bg,,+359 88 242 2144,@orangecenterbg,"A high-end bookstore and gift chain that stocks a curated selection of board games, stationery, and design-focused products.",no email
Ozone Live Varna,board game store,Varna,Bulgaria,https://www.ozone.bg,support@ozone.bg,+359 52 919 715,@ozone.bg,"The physical retail outlet for Bulgaria's largest online hobby retailer, specializing in games, toys, and pop culture merchandise.",contacted
Ciela,book shop,Varna,Bulgaria,https://ciela.com,,+359 52 600 507,@cielabooks,A major bookstore chain with multiple locations in Varna that features dedicated sections for family-friendly card games and gifts.,no email
Helikon,book shop,Varna,Bulgaria,https://helikon.bg,varna@helikon.bg,+359 52 622 131,@helikon.bg,One of the most prominent book chains in the country with a strong focus on tabletop games and educational toys in their Varna branches.,contacted
Pulsar,toy store,Varna,Bulgaria,https://www.pulsar.bg,,+359 88 260 0451,,"While primarily a video game retailer, they carry a significant selection of popular board games and card games in their Varna mall locations.",no email
Helikon Burgas,book shop,Burgas,Bulgaria,https://helikon.bg,office@helikon.bg,+359 56 845 295,@helikon.bg,"Helikon is one of the most prominent bookstore chains in Bulgaria with multiple locations in Burgas; they have a curated 'Games and Puzzles' section that favors well-designed, giftable card games.",contacted
Orange Center Burgas,book shop,Burgas,Bulgaria,https://www.orangecenter.bg,,+359 882 623 044,@orangecenterbg,"Orange Center focuses on high-quality stationery, books, and lifestyle gifts; their aesthetic and customer base are a perfect match for a design-heavy card game like Omakase.",no email
Ozone Live Burgas,board game store,Burgas,Bulgaria,https://www.ozone.bg,support@ozone.bg,+359 2 451 2222,@ozone.bg,"This is the physical retail presence of Bulgaria's largest online gaming store, located in Galleria Burgas; they are the primary destination for board game enthusiasts in the city.",contacted
Ciela Burgas,book shop,Burgas,Bulgaria,https://ciela.com,,+359 56 522 177,@ciela_books,"Ciela bookstores in Burgas malls carry a significant variety of hobby games and high-end gift items, making them a strong candidate for independent card game distribution.",no email
Pulsar Burgas,board game store,Burgas,Bulgaria,https://www.pulsar.bg,,+359 882 660 112,@pulsar_games,"Located in Mall Galleria Burgas, Pulsar specializes in video games but maintains a dedicated section for board games and collectibles, targeting the core gaming demographic.",no email
Carta Magica,board game store,Zagreb,Croatia,https://www.cartamagica.hr,info@cartamagica.hr,+385 1 4839 038,@cartamagica.hr,The most established hobby and board game specialty store in Zagreb with a dedicated community for card games.,contacted
Magic Omens,board game store,Zagreb,Croatia,https://magicomens.com,info@magicomens.com,+385 1 2034 501,@magicomens,"A modern hobby shop specializing in trading card games and indie board games, making it a perfect fit for a card-based game like Omakase.",contacted
Take Me Home,gift shop,Zagreb,Croatia,https://takemehome.hr,info@takemehome.hr,+385 1 7987 630,@takemehomedesignshop,"A premier Croatian design shop that focuses on high-quality, aesthetically pleasing products and unique gifts.",contacted
Selectedd,Concept design,Zagreb,Croatia,https://selectedd.hr,info@selectedd.hr,+385 91 466 7000,@selectedd.hr,"A curated concept store that values minimalist design and high-end lifestyle products, aligning well with Omakase's design qualities.",contacted
Hoću knjigu (Megastore),book shop,Zagreb,Croatia,https://www.hocuknjigu.hr,info@hocuknjigu.hr,+385 1 4095 010,@hocuknjigu,The largest bookstore chain in the city with a significant dedicated section for premium board games and gifts.,contacted
Menart Multimedia Shop,toy store,Zagreb,Croatia,https://www.menartshop.hr,info@menartshop.hr,+385 1 6594 901,@menart_multimedia_shop,"Located in major shopping centers, this shop carries a wide range of pop-culture merchandise and modern board games.",contacted
Carta Magica Split,board game store,Split,Croatia,https://www.cartamagica.hr/,split@cartamagica.hr,+385 21 480 344,@cartamagicasplit,"The premier specialty board game shop in Split, catering to both hobbyist and casual gamers with a dedicated card game section.",contacted
Hoću knjigu (Joker Mall),book shop,Split,Croatia,https://www.hocuknjigu.hr/,split.joker@hocuknjigu.hr,+385 21 649 191,@hocuknjigu,"A major bookstore chain that features a curated selection of board games and high-quality gift items, ideal for design-focused card games.",contacted
Get Get Get,Concept design,Split,Croatia,,,,@getgetget_conceptstore,"A boutique concept store in the Old Town focusing on unique design-led products, making it a great fit for Omakase's strong visual identity.",no email
Nered,gift shop,Split,Croatia,,,,@nered_shop,"An independent gift shop that stocks eclectic and stylish items, often attracting tourists and locals looking for high-quality, portable gifts.",no email
Müller (City Center One),toy store,Split,Croatia,https://www.mueller.hr/,,+385 21 682 100,@mueller_hrvatska,A large retailer with a significant toy and game department that serves as a primary destination for family-oriented card games in the region.,no email
Carta Magica Rijeka,board game store,Rijeka,Croatia,https://www.cartamagica.hr,rijeka@cartamagica.hr,+385 51 322 010,@cartamagica,"The leading specialty board game and hobby shop in Rijeka, making it the primary destination for card game enthusiasts.",contacted
Hoću knjigu (Tower Center),book shop,Rijeka,Croatia,https://www.hocuknjigu.hr,info@hocuknjigu.hr,+385 51 403 671,@hocuknjigu,A major bookstore chain with a significant and curated board game section that prioritizes high-quality production and design.,contacted
Poneštrica,gift shop,Rijeka,Croatia,,,+385 51 301 105,@ponestrica_rijeka,A boutique gift shop focusing on local and unique design-led items; Omakase's strong visual identity fits their aesthetic perfectly.,no email
Školska knjiga,book shop,Rijeka,Croatia,https://www.skolskaknjiga.hr,,+385 51 212 144,@skolskaknjiga,A reputable bookstore with a dedicated department for educational and family-friendly card games.,no email
Tisak Media (Korzo),gift shop,Rijeka,Croatia,https://www.tisak.hr,,,,"Located in the city's main pedestrian zone, this shop carries a selection of popular card games and high-end gift items.",no email
Hoću knjigu (Portanova),book shop,Osijek,Croatia,https://www.hocuknjigu.hr,info@hocuknjigu.hr,+385 31 628 113,@hocuknjigu,This bookstore chain has a dedicated and well-curated board game section that focuses on modern hobby games and high-quality gift items.,contacted
Školska knjiga,book shop,Osijek,Croatia,https://www.skolskaknjiga.hr,,+385 31 201 155,@skolska_knjiga,A major retailer in the city center that stocks a variety of educational and designer board games alongside books and stationery.,no email
Müller,toy store,Osijek,Croatia,https://www.mueller.hr,,+385 31 251 120,@mueller_hrvatska,"Müller is a primary destination for board games in Croatia, featuring a large department for family-oriented and strategy card games.",no email
Tisak Media,gift shop,Osijek,Croatia,https://www.tisak.hr,,,,A multimedia and gift retailer located in high-traffic shopping malls that carries a selection of popular card games and lifestyle products.,no email
Isengard Fantasy Shop,board game store,Limassol,Cyprus,https://isengard.com.cy/,info@isengard.com.cy,+357 25 352530,@isengardfantasyshop,The leading specialist hobby and board game retailer in Limassol with a strong focus on card games and community events.,contacted
Ant Comics,board game store,Limassol,Cyprus,https://antcomics.com/,info@antcomics.com,+357 25 346111,@antcomics,"A well-established shop specializing in comics and tabletop games, attracting a demographic that appreciates niche and well-designed card games.",contacted
The Game Dragon,board game store,Limassol,Cyprus,https://thegamedragon.com/,info@thegamedragon.com,+357 99 155350,@thegamedragoncy,A dedicated tabletop gaming venue and retailer that focuses on community play and a curated selection of card games.,
Public (Limassol Anexartisias),book shop,Limassol,Cyprus,https://www.public-cyprus.com.cy/,,+357 25 820460,@public_cyprus,The largest lifestyle and media retailer in Cyprus with a significant board game section that caters to mainstream and casual gamers.,no email
Mavromatis,toy store,Limassol,Cyprus,https://mavromatis.com.cy/,,+357 25 222221,@mavromatis_cy,A prominent stationery and toy chain that stocks a wide variety of family-friendly board games and educational toys.,no email
Kounna Concept Store,gift shop,Limassol,Cyprus,https://kounna.com/,,,@kounna_concept_store,"A boutique concept store focusing on unique lifestyle gifts and high-quality design items, making it a great fit for Omakase's aesthetic.",no email
The Potbelly,board game store,Larnaca,Cyprus,https://thepotbelly.com/,,+357 24 105148,@thepotbelly,"As a prominent board game cafe and social hub in Larnaca, they are the primary point of contact for the local gaming community and often stock popular card games.",no email
Academic & General Bookshop,book shop,Larnaca,Cyprus,https://www.academicbookshop.com/,info@academicbookshop.com,+357 24 628401,@academic_bookshop,"A high-end independent bookshop that carries a curated selection of gifts and educational games, fitting Omakase's strong design aesthetic.",contacted
Gifts & Gadgets,gift shop,Larnaca,Cyprus,https://giftsandgadgets.com.cy/,info@giftsandgadgets.com.cy,+357 24 000002,@giftsandgadgetscy,"Located in the Metropolis Mall, this shop specializes in trendy gifts and unique gadgets where a stylish sushi-themed card game would be a perfect impulse buy.",contacted
Public (Metropolis Mall),book shop,Larnaca,Cyprus,https://www.public-cyprus.com.cy/,,+357 24 828480,@public_cyprus,The largest retail chain for media and games in Cyprus; their Larnaca branch has a dedicated section for board games and lifestyle gifts.,no email
Mavros Larnaca,toy store,Larnaca,Cyprus,https://mavros.com.cy/,,+357 24 654261,@mavroscyprus,A long-standing toy and hobby retailer in the city center with a significant inventory of family-oriented board games and card games.,no email
Světa her,board game store,Prague,Czech Republic,https://www.svet-her.cz,info@svet-her.cz,+420 608 252 525,@svetaher,One of Prague's largest board game specialists with a massive inventory and a dedicated customer base for card games.,contacted
Hras,board game store,Prague,Czech Republic,https://www.hras.cz,hras@hras.cz,+420 224 210 211,@hras_hry_a_hlavolamy,"A historic and highly respected shop in central Prague specializing in puzzles and games, ideal for high-quality physical products.",contacted
Japonský dům,Japan stores,Prague,Czech Republic,https://www.japonskydum.cz,info@japonskydum.cz,+420 774 422 155,@japonskydum,A specialist in Japanese lifestyle and food products; the sushi theme of Omakase makes this a perfect thematic retail partner.,
Hugo chodí bos,toy store,Prague,Czech Republic,https://www.hugochodibos.cz,info@hugochodibos.cz,+420 774 494 441,@hugochodibos,"A design-led toy store that prioritizes high-quality, aesthetically pleasing products, fitting Omakase's strong design qualities.",contacted
Planeta Her,board game store,Prague,Czech Republic,https://www.planetaher.cz,info@planetaher.cz,+420 777 945 940,@planetaher,A community-focused hobby shop that stocks a wide range of modern card games and supports independent titles.,contacted
Fyft,board game store,Prague,Czech Republic,https://www.fyft.cz,info@fyft.cz,+420 774 424 242,@fyftcz,"Targets a younger, trend-focused audience interested in skill toys and visually striking tabletop games.",contacted
Mephit,board game store,Prague,Czech Republic,https://www.mephit.cz,info@mephit.cz,+420 733 551 333,@mephit_cz,"A well-established hobby shop specializing in tabletop games and community events, perfect for niche card games.",contacted
PageFive,book shop,Prague,Czech Republic,https://www.pagefive.com,info@pagefive.com,+420 775 313 003,@page_five,A specialized bookstore focused on visual culture and design; Omakase’s strong design qualities would appeal to their design-conscious clientele.,contacted
Rishada,board game store,Brno,Czech Republic,https://www.rishada.cz,info@rishada.cz,+420 775 411 114,@rishada.cz,A specialized board game shop with a dedicated community and a strong focus on card games and hobbyist titles.,contacted
Planeta Her,board game store,Brno,Czech Republic,https://www.planetaher.cz,info@planetaher.cz,+420 777 943 004,@planetaher,"One of the most established board game retailers in Brno, offering a wide variety of international and local card games.",contacted
Place Store,Concept design,Brno,Czech Republic,https://placestore.cz,brno@placestore.cz,+420 739 029 444,@placestorecz,A concept store showcasing independent designers and unique gifts; the high design quality of Omakase aligns perfectly with their curated selection.,contacted
FYFT,board game store,Brno,Czech Republic,https://fyft.cz,info@fyft.cz,+420 774 423 353,@fyftcz,"Focuses on niche hobbies, skill toys, and card games, attracting a younger demographic interested in trendy and aesthetic products.",contacted
